frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
94,13415699180734816289,3732729425680382944,99792,100867,41158,2800546,25995619,33450,434850,0,0,0,0,434850,29238170,6455488,64530981,12809680,13185939,0,0,0,0,0
95,6279338252731032094,1887704006076891057,44910,45974,38443,2990603,27481207,16898,219674,0,0,0,0,219674,14822600,2942336,48275189,6585813,20895394,0,0,0,0,0
96,6897685065739299843,7531328504092341133,37004,38067,37185,2961573,33040956,10759,139867,0,0,0,0,139867,9483877,2436288,47959879,3567018,29473938,0,0,0,0,0
97,16233122624032489404,8039177800558608082,86306,87381,38975,2816235,25010076,24116,313508,0,0,0,0,313508,21098324,5592384,54555994,9855014,15155062,0,0,0,0,0
98,3661284184810650330,17851859659918538447,112798,113873,40987,2876497,26094653,36118,469534,0,0,0,0,469534,31557682,7287872,67857691,13667394,12426167,1092,0,0,0,0
99,7689340520339025854,8361813761871384818,181518,182593,41383,2794577,25209392,48469,630097,0,0,0,0,630097,42296137,11685952,82027441,18261139,6948253,0,0,0,0,0
100,3960091624786604190,7569933000661292823,84621,85696,40318,2756230,25901369,30584,397592,0,0,0,0,397592,26737126,5484544,60919587,12128038,13773331,0,0,0,0,0
101,4670656927620931667,14181596803173254391,49707,50782,38828,2868135,25013209,17375,225875,0,0,0,0,225875,15234349,3250048,46404569,6861556,18151653,0,0,0,0,0
102,9300506978581312426,1350367836935304870,150918,151993,40639,2661104,22981036,36710,477230,0,0,0,0,477230,32056414,9727552,67466745,14396746,8583198,1092,0,0,0,0
103,17640199488338210563,802440088876334594,145209,146284,40736,2741313,23475517,37728,490464,0,0,0,0,490464,32943924,9362176,68563666,14970787,8504730,0,0,0,0,0
104,7528972887321522470,8947634756366866687,108346,109421,40904,2784745,25129247,34608,449904,0,0,0,0,449904,30240834,7002944,65198674,13412178,11717069,0,0,0,0,0
105,3331301268401570949,11179104202945140617,92564,93639,39164,2793384,23798853,28836,374868,0,0,0,0,374868,25201722,5992896,57826019,11778910,12019943,0,0,0,0,0
106,9634326897132195769,9737573833491439735,164242,165317,40597,2643241,23705877,40928,532064,0,0,0,0,532064,35725222,10580288,72695225,15820168,7885709,0,0,0,0,0
107,5564694400914521148,13192599877808201160,138290,139365,41298,2815445,25461696,43056,559728,0,0,0,0,559728,37591580,8919360,74829379,16333135,9128561,0,0,0,0,0
108,7364351477624240731,11515980236384986636,213181,214256,41879,2770838,25948325,54563,709319,0,0,0,0,709319,47603803,13712384,90077229,20033403,5914922,0,0,0,0,0
