frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
52,6311305015811095954,6427547232503983676,156729,157804,41225,3103618,56344509,46933,610129,0,0,0,0,610129,41041741,10099456,110630549,16461432,34765081,5117996,0,0,0,0
53,6453722038223445224,18320083337798526167,20397,21460,22021,2270441,28638961,4240,55120,0,0,0,0,55120,3749564,1373440,36054427,1331850,23331932,3975179,0,0,0,0
54,14215514807094581899,5826899960588213343,127190,128265,41687,3082995,55386786,43645,567385,0,0,0,0,567385,38182729,8208960,104903157,15406924,34853455,5126407,0,0,0,0
55,3989771169862953169,18000163171180986405,33783,34841,34331,2910186,39353197,8936,116168,0,0,0,0,116168,7893340,2229824,52420878,2632058,31899933,4821206,0,0,0,0
56,11916016868319620830,3434736868211279916,93360,94435,41413,3193977,52662194,35578,462514,0,0,0,0,462514,31153044,6043840,93094468,12745889,34793889,5122416,0,0,0,0
57,4640130541490228991,9900884035484805568,138838,139913,41267,3151283,55708601,44138,573794,0,0,0,0,573794,38607010,8954432,106462593,15833467,34757268,5117866,0,0,0,0
58,1304427793644317805,15977181257162056870,237678,238753,40899,3122258,60914906,61131,794703,0,0,0,0,794703,53403675,15280192,132761930,21142056,34670402,5102448,0,0,0,0
59,1112308405835387574,6630118966332650719,110489,111564,37787,2949842,47870329,25679,333827,0,0,0,0,333827,22500751,7140096,80498805,9236916,33674862,4958551,0,0,0,0
60,13116184056299994042,2954471994216558182,232779,233854,41993,3115443,60623498,61070,793910,0,0,0,0,793910,53364194,14966656,132111784,20569510,34926112,5127876,0,0,0,0
61,5128382913954093173,17891395725310316608,14147,15211,16347,1755738,22106851,2593,33709,0,0,0,0,33709,2296671,973504,27149111,766649,17891185,3449017,0,0,0,0
62,149536194727853827,17641425227737243368,152580,153655,40207,3135628,51871716,35741,464633,0,0,0,0,464633,31281783,9833920,96163254,12378613,34435037,5058066,0,0,0,0
63,12785073334573540145,9719333807847662370,679121,906621,41826,3133858,61132084,62089,807157,0,0,0,0,807157,54248883,58023744,176580395,21111363,34895367,5125354,0,0,0,0
64,14715283007751744236,8298298031652102469,29806,30871,30339,2777797,37732864,9671,125723,0,0,0,0,125723,8512153,1975744,51028897,3615313,29506672,4610879,0,0,0,0
65,11365951123784606704,17887036220830551262,292943,294018,42586,3151205,64854751,77477,1007201,0,0,0,0,1007201,67662933,18817152,154528627,24675053,35050925,5128773,0,0,0,0
66,6167689052082312052,13319927937967308141,158867,159942,41710,3120118,57910632,51456,668928,0,0,0,0,668928,44986682,10236288,116295430,17925869,34863296,5121467,0,0,0,0
67,1471876335903736649,16816578889670006011,64818,65893,40494,3108650,50502673,29734,386542,0,0,0,0,386542,26052546,4217152,83921515,10850151,34550529,5101993,0,0,0,0
68,16616906695035230134,5658483354103529566,86074,87149,40647,3176284,52376155,34393,447109,0,0,0,0,447109,30111497,5577536,91282119,12696580,34589828,5089747,0,0,0,0
