frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
47,14068545361310646309,4639816543041674363,2451,3386,4194,788209,4965272,220,2860,716677,43856,672821,49363001,2860,203060,216704,55540440,0,0,4965272,0,0,0,0
48,13900954627316334852,4195680371056188860,1815,2750,3686,744054,4487184,142,1846,619650,18085,601565,42719680,1846,131066,176000,48261670,0,0,4487184,0,0,0,0
49,2107424263269548503,11423161209362821136,1321,1881,3705,444719,2270788,53,689,263289,7630,255659,18151681,689,48919,120384,21040196,0,0,2270788,0,0,0,0
50,8168283661969964125,9931039747041076422,2130,3181,4096,791812,4925128,216,2808,700436,34120,666316,48261844,2808,199368,203584,54385832,0,0,4925128,0,0,0,0
51,14267482168518956616,13113212589325100185,2393,3443,4205,800146,5124964,220,2860,717542,44379,673163,49421640,2860,203060,220352,55774367,0,0,5124964,0,0,0,0
52,6311305015811095954,6427547232503983676,2144,3149,4066,765412,4948840,209,2717,708824,39023,669801,48830810,2717,192907,201536,54943571,0,0,4948840,0,0,0,0
53,6453722038223445224,18320083337798526167,1571,2415,3419,657853,3516084,98,1274,475470,11973,463497,32783484,1274,90454,154560,37205854,0,0,3516084,0,0,0,0
54,14215514807094581899,5826899960588213343,2197,3229,4143,760755,4931147,218,2834,707912,39759,668153,48766410,2834,201214,206656,54870325,0,0,4931147,0,0,0,0
55,3989771169862953169,18000163171180986405,1848,2880,3811,740548,4535284,156,2028,636400,18402,617998,43874796,2028,143988,184320,49482747,0,0,4535284,0,0,0,0
56,11916016868319620830,3434736868211279916,2123,3168,4084,775641,4940884,213,2769,707244,38191,669053,48723454,2769,196599,202752,54843414,0,0,4940884,0,0,0,0
57,4640130541490228991,9900884035484805568,2309,3261,4176,779958,4554004,201,2613,707071,41410,665661,48705079,2613,185523,208704,54437444,0,0,4554004,0,0,0,0
58,1304427793644317805,15977181257162056870,2391,3321,4198,781452,4606420,193,2509,708852,43815,665037,48823158,2509,178139,212544,54605911,0,0,4606420,0,0,0,0
59,1112308405835387574,6630118966332650719,1990,3021,3947,748201,4743297,174,2262,683755,26957,656798,47125181,2262,160602,193344,52974572,0,0,4743297,0,0,0,0
60,13116184056299994042,2954471994216558182,2250,3186,4100,757014,4800120,216,2808,710818,40984,669834,48964474,2808,199368,203904,54928980,0,0,4800120,0,0,0,0
61,5128382913954093173,17891395725310316608,1360,2166,3574,579854,3077776,78,1014,385010,9861,375149,26545968,1014,71994,138624,30417790,0,0,3077776,0,0,0,0
62,149536194727853827,17641425227737243368,2263,3247,4116,779966,4508465,183,2379,694778,33276,661502,47873130,2379,168909,207808,53542394,0,0,4508465,0,0,0,0
63,12785073334573540145,9719333807847662370,679121,682360,4120,762247,4779892,212,2756,710919,41757,669162,48969897,2756,195676,43671040,98382872,0,0,4779892,0,0,0,0
64,14715283007751744236,8298298031652102469,1924,2750,3686,736760,4472559,141,1833,587385,19974,567411,40489617,1833,130143,176000,46008765,0,0,4472559,0,0,0,0
65,11365951123784606704,17887036220830551262,2284,3335,4151,769667,5127876,224,2912,718135,43881,674254,49463553,2912,206752,213440,55785439,0,0,5127876,0,0,0,0
66,6167689052082312052,13319927937967308141,2066,3110,4027,750765,4911660,210,2730,709038,38875,670163,48845872,2730,193830,199040,54905194,0,0,4911660,0,0,0,0
67,1471876335903736649,16816578889670006011,2025,3078,3998,761335,4921020,201,2613,698793,33912,664881,48148893,2613,185523,196992,54217761,0,0,4921020,0,0,0,0
68,16616906695035230134,5658483354103529566,2070,3065,3986,771731,5088187,203,2639,702376,35514,666862,48392916,2639,187369,196160,54640349,0,0,5088187,0,0,0,0
69,14774274864356891453,3644105131579224076,2379,3364,4179,781245,4935112,212,2756,711710,42439,669271,49023112,2756,195676,215296,55154620,0,0,4935112,0,0,0,0
70,15893644149008283858,11402885097641880637,2096,3065,3986,772304,4914442,198,2574,693720,31315,662405,47804050,2574,182754,196160,53873696,0,0,4914442,0,0,0,0
71,7865834665772639287,10652884563243312165,2113,3132,4051,761115,4923165,202,2626,702702,36327,666375,48413784,2626,186446,200448,54489009,0,0,4923165,0,0,0,0
72,3982075187632817751,15468753295786042477,2052,3101,4019,773972,5117736,215,2795,702540,34134,668406,48406992,2795,198445,198464,54699628,0,0,5117736,0,0,0,0
73,8257608772007586738,15060440126870394208,2050,3101,4019,760892,5114356,212,2756,698048,30956,667092,48103400,2756,195676,198464,54376807,0,0,5114356,0,0,0,0
74,14977254156259156003,3920327573652986140,2229,3150,4067,757844,4947280,208,2704,706177,38977,667200,48648259,2704,191984,201600,54751034,0,0,4947280,0,0,0,0
75,1589424333137760772,9471724134185867919,2122,3020,3944,767040,4867135,186,2418,694796,34202,660594,47872520,2418,171678,193280,53875597,0,0,4867135,0,0,0,0
76,9774658082113931331,1081553943595848751,2130,3036,3959,761293,5047523,194,2522,687436,28851,658585,47375382,2522,179062,194304,53561523,0,0,5047523,0,0,0,0
77,2885753135356757878,8144404064137559034,2055,3036,3959,740328,5047523,194,2522,688887,28643,660244,47475917,2522,179062,194304,53641093,0,0,5047523,0,0,0,0
78,18228366790075488506,6042191629102714783,1610,2595,3640,695572,4140409,122,1586,521597,14153,507444,35961887,1586,112606,166080,41080194,0,0,4140409,0,0,0,0
79,6705742309440081002,4560022252792973950,2281,3251,4165,772673,4797988,209,2717,709984,41811,668173,48905274,2717,192907,208064,54881071,0,0,4797988,0,0,0,0
80,4183829670304994346,11429584479178068259,2463,3234,4151,805007,4720417,199,2587,705144,41011,664133,48572914,2587,183677,206976,54493142,0,0,4720417,0,0,0,0
81,7971977087052089671,12943656896339611047,1255,1560,5586,296915,1381536,30,390,112302,2824,109478,7743190,390,27690,99840,9554757,0,0,1381536,0,0,0,0
82,14015440443514644708,15168746826461742152,2365,3242,4158,767565,4561921,198,2574,699643,37197,662446,48200973,2574,182754,207488,53924859,0,0,4561921,0,0,0,0
83,14813477150930179670,10654782508927386569,2066,3078,3998,751659,5099341,206,2678,701291,34275,667016,48320529,2678,190138,196992,54562657,0,0,5099341,0,0,0,0
84,277419965220824983,236082523621049125,1352,2028,3389,517110,2709525,66,858,306900,8349,298551,21159402,858,60918,129792,24580136,0,0,2709525,0,0,0,0
85,11433493891647338668,7759285439589208922,2105,3065,3986,768222,4801524,192,2496,688102,30879,657223,47417280,2496,177216,196160,53364388,0,0,4801524,0,0,0,0
86,3927747151045147985,14326285596270872888,2257,3194,4062,765086,5109481,210,2730,704698,37728,666970,48548706,2730,193830,204416,54825581,0,0,5109481,0,0,0,0
87,2490559828448180269,1274096174389150426,2061,3111,4028,767124,4967872,213,2769,708275,38974,669301,48793027,2769,196599,199104,54927754,0,0,4967872,0,0,0,0
88,12310597241526767626,6169451773211654535,2071,3120,4036,754436,5125692,221,2873,714253,40544,673709,49202369,2873,203983,199680,55490196,0,0,5125692,0,0,0,0
89,4670254777196922682,8977123415404240798,2272,3320,4186,776557,4754256,213,2769,711850,43643,668207,49030364,2769,196599,212480,54974442,0,0,4754256,0,0,0,0
90,15825785085970787932,11761380677485834089,2312,3145,4068,783703,4408664,169,2197,688756,37604,651152,47448956,2197,155987,201280,53002658,0,0,4408664,0,0,0,0
91,6764912390002647435,3014557965378192313,1521,2453,3606,661513,3688022,103,1339,475589,10255,465334,32795131,1339,95069,156992,37400333,0,0,3688022,0,0,0,0
92,16983826796895888681,7536200890693945291,2202,3078,3998,749750,4952493,204,2652,701782,35401,666381,48352156,2652,188292,196992,54443681,0,0,4952493,0,0,0,0
93,8088651020318966618,2194267367720589618,2368,3420,4222,787754,4925856,217,2821,715150,43824,671326,49257702,2821,200291,218880,55394705,0,0,4925856,0,0,0,0
94,13415699180734816289,3732729425680382944,2253,3289,4115,771679,5098756,206,2678,706198,37449,668749,48652764,2678,190138,210496,54927948,0,0,5098756,0,0,0,0
95,6279338252731032094,1887704006076891057,2005,3020,3944,774318,4852432,185,2405,680396,27822,652574,46891680,2405,170755,193280,52886409,0,0,4852432,0,0,0,0
96,6897685065739299843,7531328504092341133,1934,2985,3911,762009,4951284,181,2353,668470,20909,647561,46082612,2353,167063,191040,52157919,0,0,4951284,0,0,0,0
97,16233122624032489404,8039177800558608082,2105,3063,3986,768345,4840147,186,2418,689136,31346,657790,47487692,2418,171678,196032,53467880,0,0,4840147,0,0,0,0
98,3661284184810650330,17851859659918538447,2159,3209,4125,789191,4730232,205,2665,704156,37986,666170,48510792,2665,189215,205376,54428931,0,0,4730232,0,0,0,0
99,7689340520339025854,8361813761871384818,2207,3217,4131,788407,4730128,212,2756,708782,40847,667935,48824264,2756,195676,205888,54748494,0,0,4730128,0,0,0,0
100,3960091624786604190,7569933000661292823,2096,3078,3998,754791,5099341,206,2678,700431,34716,665715,48260307,2678,190138,196992,54505567,0,0,5099341,0,0,0,0
101,4670656927620931667,14181596803173254391,1999,3020,3944,766247,4830683,187,2431,685290,29285,656005,47226440,2431,172601,193280,53193195,0,0,4830683,0,0,0,0
102,9300506978581312426,1350367836935304870,2365,3249,4119,763487,4929769,207,2691,706112,38870,667242,48643988,2691,191061,207936,54740360,0,0,4929769,0,0,0,0
103,17640199488338210563,802440088876334594,2231,3161,4078,771903,4916080,209,2717,703381,38813,664568,48455663,2717,192907,202304,54542935,0,0,4916080,0,0,0,0
104,7528972887321522470,8947634756366866687,2269,3281,4143,774955,4918693,213,2769,705250,38853,666397,48584544,2769,196599,209984,54688918,0,0,4918693,0,0,0,0
105,3331301268401570949,11179104202945140617,2139,3033,3956,763166,4872114,191,2483,694006,34160,659846,47818094,2483,176293,194112,53827735,0,0,4872114,0,0,0,0
106,9634326897132195769,9737573833491439735,2164,3124,4043,755279,4782765,198,2574,702197,38010,664187,48375573,2574,182754,199936,54300350,0,0,4782765,0,0,0,0
107,5564694400914521148,13192599877808201160,2150,3168,4083,777287,4971148,216,2808,707156,38776,668380,48716212,2808,199368,202752,54870850,0,0,4971148,0,0,0,0
108,7364351477624240731,11515980236384986636,2262,3120,4036,773533,4939480,216,2808,710016,39592,670424,48911920,2808,199368,199680,55028017,0,0,4939480,0,0,0,0
109,10816362873225505153,13562934150647224734,1421,2028,4247,509512,2739711,67,871,285858,5275,280583,19713652,871,61841,129792,23158755,0,0,2739711,0,0,0,0
110,1504602427833427066,17494325283045092023,2184,3120,4036,750360,4929964,216,2808,706964,38848,668116,48702820,2808,199368,199680,54786228,0,0,4929964,0,0,0,0
